pair_id,query_id,target_grade,question_en,candidate_A_lecture_hi,candidate_B_lecture_hi,human_vote_A_supports (0/1),human_vote_B_supports (0/1),human_preference (A/B/Tie),human_annotator_notes
pair_011,q_train_sqa_825,grade6,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium.","विलयन में, विलेय कण विलायक में गति करते हुए पूरे क्षेत्र में फैल जाते हैं। नीचे दिया गया आरेख दिखाता है कि समय के साथ एक विलयन कैसे बदल सकता है। विलेय कण उस क्षेत्र से उस क्षेत्र की ओर गति करते हैं जहाँ उनकी सांद्रता अधिक होती है, उस क्षेत्र की ओर जहाँ उनकी सांद्रता कम होती है। यह गति विसरण की प्रक्रिया के माध्यम से होती है।

विसरण के परिणामस्वरूप, विलेय कणों की सांद्रता विलयन भर में समान हो जाती है। जब ऐसा होता है, तो विलेय कण साम्यावस्था प्राप्त कर लेते हैं। साम्यावस्था पर, विलेय कण गति करना बंद नहीं करते। लेकिन विलयन भर में उनकी सांद्रता समान ही रहती है।

झिल्लियाँ, या पतली सीमाएँ, विलयनों को भागों में विभाजित कर सकती हैं। एक झिल्ली विलेय के लिए पारगम्य होती है जब विलेय के कण झिल्ली में मौजूद अंतरालों से गुजर सकते हैं। इस स्थिति में, विलेय कण एक तरफ से दूसरी तरफ झिल्ली के पार स्वतंत्र रूप से गति कर सकते हैं।

इसलिए, विलेय कणों के साम्यावस्था तक पहुँचने के लिए, अधिक कण विलेय कणों की उच्च सांद्रता वाली तरफ से कम सांद्रता वाली तरफ की ओर पारगम्य झिल्ली के पार गति करेंगे। साम्यावस्था पर,",...,,,,
pair_012,q_train_sqa_909,grade6,What information supports the conclusion that Judith inherited this trait?,"सभी जीवों में वंशागत सामग्री के खंड होते हैं जिन्हें जीन कहा जाता है, जो माता-पिता से संतानों में स्थानांतरित होते हैं। जीनों में किसी जीव के भागों को बनाने के लिए निर्देश निहित होते हैं। किसी जीव के जीन उसके दृश्यमान लक्षणों को प्रभावित करते हैं, जिनमें उसका स्वरूप, व्यवहार और संभावित रोग शामिल हैं। जीनों में विभिन्न एलील (रूप) हो सकते हैं, जो लक्षण के विभिन्न संस्करण उत्पन्न कर सकते हैं।

उदाहरण के लिए, मटर के पौधों में फूलों का रंग एक लक्षण है। इस लक्षण के लिए जीन में दो संभावित एलील होते हैं। प्रत्येक एलील को एक बड़े या छोटे अक्षर द्वारा दर्शाया जाता है। एलील F बैंगनी फूलों के लिए होता है, जबकि एलील f सफेद फूलों के लिए होता है। प्रत्येक मटर के पौधे में फूलों के रंग के जीन के लिए दो एलील होते हैं—एक एलील प्रत्येक माता-पिता से विरासत में मिलता है।

किसी जीव का किसी जीन के लिए जीनोटाइप उस विशिष्ट जीन के लिए इसके एलीलों का संयोजन होता है। अतः, मटर के पौधे में फूलों के रंग के जीन के लिए FF, Ff, या ff जीनोटाइप हो सकता है।

किसी जीव का किसी लक्षण के लिए फेनोटाइप उस लक्षण का उसका दृश्यमान ",...,,,,
pair_013,q_train_sqa_1097,grade4,What is the mass of a fire truck?,"पदार्थ परमाणुओं नामक सूक्ष्म कणों से बना होता है। परमाणु सदैव गति में रहते हैं।
गतिमान परमाणुओं की ऊर्जा को ऊष्मीय ऊर्जा कहा जाता है। पदार्थ में ऊष्मीय ऊर्जा की कुल मात्रा तीन बातों पर निर्भर करती है: पदार्थ का प्रकार, पदार्थ की मात्रा और परमाणु कितनी तेजी से गति कर रहे हैं।
तापमान यह मापता है कि पदार्थ कितना गर्म या ठंडा है। यदि पदार्थ के परमाणु धीमे हो जाते हैं, तो तापमान कम हो जाता है। अब उस पदार्थ में कम ऊष्मीय ऊर्जा और निम्न तापमान दोनों होते हैं।
यदि पदार्थ की मात्रा बदल जाती है, तो क्या होता है? 70°F तापमान वाली 2-किलोग्राम की ईंट में, 70°F तापमान वाली 1-किलोग्राम की ईंट की तुलना में दोगुनी अधिक ऊष्मीय ऊर्जा होती है। दोनों ईंटों का तापमान समान है, लेकिन बड़ी ईंट में परमाणुओं की संख्या दोगुनी होती है। इसलिए, इसमें दोगुनी अधिक ऊष्मीय ऊर्जा होती है।",...,,,,
pair_014,q_train_sqa_662,grade7,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"चुंबक एक-दूसरे को स्पर्श किए बिना भी एक-दूसरे को खींच या धकेल सकते हैं। जब चुंबक आकर्षित करते हैं, तो वे एक-दूसरे की ओर खिंचते हैं। जब चुंबक प्रतिकर्षित करते हैं, तो वे एक-दूसरे से दूर धकेले जाते हैं।

चुंबकों के बीच लगने वाले इन खिंचाव और धक्कों को चुंबकीय बल कहते हैं। दो चुंबकों के बीच चुंबकीय बल जितना अधिक प्रबल होगा, चुंबक उतनी ही अधिक शक्ति से एक-दूसरे को आकर्षित या प्रतिकर्षित करेंगे।

आप चुंबकों के बीच की दूरी बदलकर दो चुंबकों के बीच चुंबकीय बल की प्रबलता को परिवर्तित कर सकते हैं। जब चुंबक एक-दूसरे के अधिक निकट होते हैं, तो चुंबकीय बल अधिक प्रबल होता है।",...,,,,
pair_015,q_train_sqa_102,grade8,"What do these two changes have in common?
a slice of banana turning brown
grilling a hamburger",...,...,,,,
pair_016,q_train_sqa_721,grade2,Is an airplane a good or a service?,...,"आप जो कुछ भी खरीद सकते हैं, वह या तो एक वस्तु होती है या सेवा।
वस्तु वह चीज़ है जिसे आप छू सकते हैं या अपने हाथों में पकड़ सकते हैं। उदाहरण के लिए, हथौड़ा एक वस्तु है।
सेवा वह काम है जिसके लिए आप किसी और को भुगतान करते हैं। उदाहरण के लिए, रेस्तरां में खाना बनाना एक सेवा है।",,,,
pair_017,q_train_sqa_504,grade12,Which text uses the word can in its traditional sense?,...,...,,,,
pair_018,q_train_sqa_37,grade6,Identify the question that Gabe's experiment can best answer.,...,"प्रयोगों को विशिष्ट प्रश्नों के उत्तर देने के लिए डिज़ाइन किया जा सकता है। आप किसी विशेष प्रयोग द्वारा किन प्रश्नों के उत्तर दिए जा सकते हैं, यह कैसे पहचानें? ऐसा करने के लिए, आपको यह समझना होगा कि प्रयोग के दौरान क्या परीक्षण किया गया और क्या मापा गया।

दफोडिल पौधों के दो समूहों वाले एक प्रयोग की कल्पना करें। पौधों का एक समूह बलुई मिट्टी में उगाया गया, जबकि दूसरा समूह चिकनी मिट्टी में उगाया गया। फिर, प्रत्येक पौधे की ऊँचाई मापी गई।

सबसे पहले, उस प्रयोग के भाग की पहचान करें जिसका परीक्षण किया गया था। किसी प्रयोग में जिस भाग का परीक्षण किया जाता है, आमतौर पर वह प्रायोगिक व्यवस्था के उस भाग से संबंधित होता है जो अलग या बदला हुआ होता है। उपरोक्त वर्णित प्रयोग में, पौधों के प्रत्येक समूह को अलग-अलग प्रकार की मिट्टी में उगाया गया था। इसलिए, अलग-अलग प्रकार की मिट्टियों में पौधे उगाने के प्रभाव का परीक्षण किया गया था।

फिर, उस प्रयोग के भाग की पहचान करें जिसका मापन किया गया था। जिस भाग का मापन किया जाता है, उसमें माप और गणनाएँ शामिल हो सकती हैं। उपरोक्त वर्णित प्रयोग में, प्रत्येक समूह के पौ",,,,
pair_019,q_train_sqa_35,grade3,"Is the following trait inherited or acquired?
Bobby has a scar on his left leg.",...,"जीव, जिनमें मनुष्य भी शामिल हैं, में वंशानुगत और अर्जित दोनों प्रकार के लक्षण पाए जाते हैं। वंशानुगत और अर्जित लक्षण अलग-अलग तरीकों से प्राप्त किए जाते हैं।
वंशानुगत लक्षण परिवारों से पीढ़ी-दर-पीढ़ी स्थानांतरित होते हैं। बच्चे इन लक्षणों को अपने माता-पिता से प्राप्त करते हैं। वंशानुगत लक्षणों को सीखने की आवश्यकता नहीं होती है।
अर्जित लक्षण व्यक्ति के जीवनकाल के दौरान प्राप्त किए जाते हैं। कुछ अर्जित लक्षण, जैसे कि साइकिल चलाना, सीखने द्वारा प्राप्त किए जाते हैं। अन्य अर्जित लक्षण, जैसे कि घाव के निशान, पर्यावरण के कारण होते हैं। बच्चे अपने माता-पिता के अर्जित लक्षणों को विरासत में नहीं पाते।",,,,
pair_020,q_train_sqa_108,grade7,"Which figure of speech is used in this text?
""This mattress is as soft as concrete,"" Tyler complained as he tested the bed in his hotel room.","भाषा के ऐसे प्रयोग (फिगर्स ऑफ स्पीच) वे शब्द या वाक्यांश होते हैं जो भाषा का उपयोग शाब्दिक अर्थ से हटकर या किसी असामान्य तरीके से करते हैं। ये लेखन को अधिक अभिव्यक्तिपूर्ण बना सकते हैं。
मौखिक विरोधाभास (Verbal irony) में एक बात कहना लेकिन कुछ बिल्कुल अलग इशारा करना शामिल है। लोग अक्सर तब मौखिक विरोधाभास का प्रयोग करते हैं जब वे व्यंग्यात्मक हो रहे होते हैं。
ओलिविया ऐसी लग रही है मानो उसकी कार बार-बार खराब होने पर वह बेहद उत्साहित हो रही है。
हर बार कार खराब होने का अनुभव चेहरे पर मुक्का मारने जितना ही आनंददायक लगता है।",...,,,,
pair_021,q_train_sqa_259,grade8,"Is the following statement about our solar system true or false?
The four largest planets are made mainly of gas or ice.","ग्रह का आयतन आपको उसके आकार के बारे में बताता है। ग्रह की प्रमुख संरचना यह दर्शाती है कि वह ग्रह मुख्य रूप से किस पदार्थ से बना है। हमारे सौर मंडल में ग्रह मुख्य रूप से चट्टान, गैस या बर्फ से बने होते हैं।",...,,,,
pair_022,q_train_sqa_277,grade5,Which of these continents does the prime meridian intersect?,...,एक महाद्वीप पृथ्वी के प्रमुख भूखंडों में से एक है। अधिकतर लोग मानते हैं कि सात महाद्वीप हैं।,,,,
pair_023,q_train_sqa_605,grade4,What can seeds look like?,"मापन में एक संख्या और एक इकाई दोनों लिखी जाती हैं। इकाई संख्या के बाद आती है। इकाई यह दर्शाती है कि वह संख्या किस बात का संकेत देती है。

कल्पना कीजिए कि आपको बताया जाए कि बस 7 में रवाना होगी। आप सोच सकते हैं, 7 क्या? क्या बस 7 मिनट में चलेगी? 7 सेकंड में?

अकेली संख्या 7 आपको यह जानने के लिए ज्यादा जानकारी नहीं देती कि बस कब रवाना हो रही है। ऐसा इसलिए होता है क्योंकि इकाइयाँ अनुपस्थित हैं。

समय को आमतौर पर सेकंड, मिनट या घंटे की इकाइयों में मापा जाता है। छींकने में लगभग 1 सेकंड और सुबह कपड़े पहनने में लगभग 1 मिनट लगता है। ओवन में पाई पकाने में लगभग 1 घंटा लगता है。

1 मिनट में 60 सेकंड होते हैं। इसलिए, 1 सेकंड, 1 मिनट से बहुत कम होता है。

1 घंटे में 60 मिनट होते हैं। इसलिए, 1 मिनट, 1 घंटे से बहुत कम होता है。",...,,,,
pair_024,q_train_sqa_733,grade7,Which sentence is more formal?,"औपचारिक लेखन का उपयोग निबंधों, व्यावसायिक पत्रों और रिपोर्टों के लिए किया जाता है। औपचारिक लेखन में निम्नलिखित अनौपचारिक भाषा के प्रकारों से बचना चाहिए:
प्रकार | उदाहरण
स्लैंग | cool, awesome
मुहावरे | knock your socks off
बोलचाल की भाषा | gonna, kinda, yeah
संक्षिप्त भाषा | ASAP, FYI
अत्यधिक सरल या अस्पष्ट भाषा | he got some stuff at the store
संक्षिप्त रूप | can't, won't
संक्षिप्त रूप अन्य प्रकारों की तुलना में इतने अनौपचारिक नहीं हैं, लेकिन औपचारिक लेखन में इन्हें सीमित मात्रा में ही उपयोग करना चाहिए।
निम्नलिखित वाक्यों की तुलना करें। पहला वाक्य अनौपचारिक है। दूसरा वाक्य औपचारिक है।
अनौपचारिक: हाँ, शुतुरमुर्ग उड़ नहीं सकते, लेकिन वे शानदार दौड़ने वाले हैं।
औपचारिक: यद्यपि शुतुरमुर्ग उड़ने में असमर्थ होते हैं, फिर भी वे अत्यंत कुशल दौड़ने वाले हैं।","वाक्य शब्दों का एक समूह है जो एक पूर्ण विचार व्यक्त करता है।
जिस बैंड में मैं हूँ, वह प्रतिदिन अभ्यास कर रहा है क्योंकि हमारे पास दो सप्ताह बाद एक संगीत कार्यक्रम है।
रन-ऑन वाक्य (Run-on sentence) तब बनता है जब दो वाक्यों को केवल एक अल्पविराम (comma) या बिल्कुल भी कोई विराम चिह्न दिए बिना आपस में जोड़ दिया जाता है। यदि केवल अल्पविराम का उपयोग किया जाता है, तो ऐसे रन-ऑन वाक्य को 'कॉमा स्पाइस' (comma splice) कहा जाता है।
जिस बैंड में मैं हूँ, वह प्रतिदिन अभ्यास कर रहा है, हमारे पास दो सप्ताह बाद एक संगीत कार्यक्रम है।
जिस बैंड में मैं हूँ, वह प्रतिदिन अभ्यास कर रहा है हमारे पास दो सप्ताह बाद एक संगीत कार्यक्रम है।
रन-ऑन वाक्य को ठीक करने के कई तरीके हैं:
मजबूत विराम चिह्नों का उपयोग करें, जैसे पूर्ण विराम (period) या अर्धविराम (semicolon)।
जिस बैंड में मैं हूँ, वह प्रतिदिन अभ्यास कर रहा है। हमारे पास दो सप्ताह बाद एक संगीत कार्यक्रम है।
जिस बैंड में मैं हूँ, वह प्रतिदिन अभ्यास कर रहा है; हमारे पास दो सप्ताह बाद एक संगीत कार्यक्रम है।
संयुक्त वाक्य (compound sentence) बनाने के लिए अल्पविर",,,,
pair_025,q_train_sqa_31,grade4,Select the living thing.,"पौधे और जानवर जीवित प्राणी हैं। जीवित प्राणियों को जीव कहा जाता है।
पौधे विभिन्न आकार और रूपों में पाए जाते हैं। अधिकांश पौधे मिट्टी में उगते हैं। उनमें पत्तियाँ, फूल और फल हो सकते हैं। पौधे जानवरों की तरह स्वयं चल-फिर नहीं सकते।
जानवर भी विभिन्न आकार और रूपों में पाए जाते हैं। अधिकांश जानवर चल-फिर सकते हैं। जानवर दौड़ सकते हैं, तैर सकते हैं, कूद सकते हैं या उड़ सकते हैं। भोजन के लिए जानवर पौधों या अन्य जीवों को खाते हैं।",...,,,,
pair_026,q_train_sqa_685,grade7,Which solution has a higher concentration of purple particles?,...,...,,,,
pair_027,q_train_sqa_236,grade3,Select the amphibian below.,...,"पक्षी, स्तनधारी, मछलियाँ, सरीसृप और उभयचर जानवरों के समूह हैं। प्रत्येक समूह के जानवरों में कुछ सामान्य लक्षण होते हैं। वैज्ञानिक उनके साझा लक्षणों के आधार पर जानवरों को अलग-अलग समूहों में व्यवस्थित करते हैं। इस प्रक्रिया को वर्गीकरण कहा जाता है।",,,,
pair_028,q_train_sqa_874,grade8,"Would you find the word excite on a dictionary page with the following guide words?
engine - essay",...,"शब्दकोश के प्रत्येक पृष्ठ पर मार्गदर्शक शब्द दिखाई देते हैं। ये शब्द आपको उस पृष्ठ पर छपे पहले और अंतिम शब्द बताते हैं। पृष्ठ पर स्थित अन्य सभी शब्द वर्णानुक्रम में इन मार्गदर्शक शब्दों के मध्य आते हैं। शब्दों को वर्णानुक्रम में व्यवस्थित करने के लिए, उन्हें उनके पहले अक्षर के अनुसार क्रमबद्ध करें। यदि पहले अक्षर समान हों, तो दूसरे अक्षर देखें। यदि दूसरे अक्षर समान हों, तो तीसरे अक्षर देखें, और इसी प्रकार आगे बढ़ें।",,,,
pair_029,q_train_sqa_788,grade4,Which of these states is farthest south?,"चुंबक एक-दूसरे को छुए बिना भी खींच या धकेल सकते हैं। जब चुंबक आकर्षित करते हैं, तो वे एक-दूसरे की ओर खिंचते हैं। जब चुंबक प्रतिकर्षित करते हैं, तो वे एक-दूसरे से दूर धकेले जाते हैं।

किसी चुंबक द्वारा अन्य चुंबकों को आकर्षित करने या प्रतिकर्षित करने की क्षमता उसके ध्रुवों या सिरों की स्थिति पर निर्भर करती है। प्रत्येक चुंबक में दो ध्रुव होते हैं, जिन्हें उत्तर और दक्षिण ध्रुव कहा जाता है।

यहाँ कुछ चुंबकों के उदाहरण दिए गए हैं। प्रत्येक चुंबक का उत्तर ध्रुव N से और दक्षिण ध्रुव S से चिह्नित है।

यदि विपरीत ध्रुव एक-दूसरे के सबसे निकट हों, तो चुंबक आकर्षित करते हैं। नीचे दिए गए युग्म के चुंबक आकर्षित हो रहे हैं।

यदि समान ध्रुव एक-दूसरे के सबसे निकट हों, तो चुंबक प्रतिकर्षित करते हैं। नीचे दिए गए दोनों युग्मों के चुंबक प्रतिकर्षित हो रहे हैं।",...,,,,
pair_030,q_train_sqa_854,grade12,"Is this a sentence fragment?
Smoke from the cabin visible for miles up and down the coast.",...,"एक वाक्य शब्दों का वह समूह है जो एक पूर्ण विचार व्यक्त करता है। इसमें कर्ता और क्रिया दोनों होते हैं।
मेरे दोस्त रास्ते पर चलते हैं।
वाक्य खंड (Sentence Fragment) शब्दों का वह समूह है जो एक पूर्ण विचार नहीं व्यक्त करता। इसमें आमतौर पर कर्ता या क्रिया अनुपस्थित होती है।
उत्तर जानता है।
यह एक वाक्य खंड है। इसमें कर्ता की कमी है।
कौन उत्तर जानता है? वह उत्तर जानती है।
चमकीली लाल कार।
यह एक वाक्य खंड है। इसमें क्रिया की कमी है।
चमकीली लाल कार ने क्या किया? चमकीली लाल कार रुक गई।
रन-ऑन सेंटेन्स (Run-on Sentence) दो वाक्यों से बना होता है जो बिना अंत विराम चिह्न के या केवल एक अल्पविराम (comma) लगाकर जोड़े गए हों।
मैंने दरवाजे पर दस्तक दी वह खुल गया।
बारिश शुरू हुई, हम अंदर भाग गए।
रन-ऑन सेंटेन्स को ठीक करने के लिए, उसे दो वाक्यों में बाँट दें। पहले वाक्य के बाद अंत विराम चिह्न लगाएँ, और दूसरे वाक्य के पहले अक्षर को बड़े अक्षर (Capital) में लिखें।
मैंने दरवाजे पर दस्तक दी। वह खुल गया।
बारिश शुरू हुई। हम अंदर भाग गए।
आप रन-ऑन सेंटेन्स को कॉम्पाउंड सेंटेन्स (Compound Sentence) के रूप में पुनः ल",,,,
